Patient	Replicate	Size	Number
U1	1	0.3	0
U1	1	0.3217	0
U1	1	0.345	0
U1	1	0.37	0
U1	1	0.3968	0
U1	1	0.4255	0
U1	1	0.4563	0
U1	1	0.4893	0
U1	1	0.5248	0
U1	1	0.5627	0
U1	1	0.6035	0
U1	1	0.6472	0
U1	1	0.694	0
U1	1	0.7443	0
U1	1	0.7982	0
U1	1	0.8559	0
U1	1	0.9179	0
U1	1	0.9844	0
U1	1	1.056	0
U1	1	1.132	0
U1	1	1.214	0
U1	1	1.302	0
U1	1	1.396	0
U1	1	1.497	0
U1	1	1.606	0
U1	1	1.722	0
U1	1	1.846	0
U1	1	1.98	0
U1	1	2.124	0
U1	1	2.277	0
U1	1	2.442	0
U1	1	2.619	0
U1	1	2.809	0
U1	1	3.012	0
U1	1	3.23	0
U1	1	3.464	0
U1	1	3.714	0
U1	1	3.983	0
U1	1	4.272	0
U1	1	4.581	0
U1	1	4.913	0
U1	1	5.268	0
U1	1	5.65	0
U1	1	6.059	0
U1	1	6.497	0
U1	1	6.968	0
U1	1	7.472	0
U1	1	8.013	0
U1	1	8.593	0
U1	1	9.215	0
U1	1	9.882	0
U1	1	10.6	0
U1	1	11.37	0
U1	1	12.19	0
U1	1	13.07	0
U1	1	14.02	0
U1	1	15.03	0
U1	1	16.12	0
U1	1	17.29	0
U1	1	18.54	0
U1	1	19.88	0
U1	1	21.32	0
U1	1	22.86	0
U1	1	24.52	0
U1	1	26.29	0
U1	1	28.2	0
U1	1	30.24	0
U1	1	32.43	0.455
U1	1	34.77	3.242
U1	1	37.29	9.106
U1	1	39.99	14.92
U1	1	42.89	17.51
U1	1	45.99	16.61
U1	1	49.32	13.52
U1	1	52.89	9.722
U1	1	56.72	6.246
U1	1	60.83	3.572
U1	1	65.23	1.783
U1	1	69.95	0.7379
U1	1	75.02	0.2248
U1	1	80.45	0.03895
U1	1	86.27	0.02622
U1	1	92.52	0.08797
U1	1	99.21	0.1653
U1	1	106.4	0.2264
U1	1	114.1	0.2599
U1	1	122.4	0.2667
U1	1	131.2	0.2531
U1	1	140.7	0.2268
U1	1	150.9	0.1945
U1	1	161.8	0.1612
U1	1	173.5	0.1303
U1	1	186.1	0.1033
U1	1	199.6	0.07911
U1	1	214	0.0558
U1	1	229.5	0.03484
U1	1	246.1	0.01894
U1	1	264	8.62E-03
U1	1	283.1	0.002933
U1	1	303.6	5.37E-04
U1	1	325.5	5.29E-06
U1	1	349.1	9.01E-06
U1	1	374.4	0.0003625
U1	1	401.5	0.001303
U1	1	430.6	0.00216
U1	1	461.7	0.002221
U1	1	495.2	0.001578
U1	1	531	0.000729
U1	1	569.4	1.62E-04
U1	1	610.7	0.00E+00
U1	1	654.9	0.00E+00
U1	1	702.3	0
U1	1	753.1	0
U1	1	807.7	0
U1	1	866.1	0
U1	1	928.8	0
U1	1	996.1	0
U1	1	1068	0
U1	1	1146	0
U1	1	1228	0
U1	1	1317	0
U1	1	1413	0
U1	1	1515	0
U1	1	1625	0
U1	1	1742	0
U1	1	1868	0
U1	1	2004	0
U1	1	2149	0
