Gene.Name	Diff.exp	Exp.level	percent_detected	cell.type
CLDN3	4.799077594	8.966060608	0.612032594	epithelial_cancer_cells
FOLR1	4.279271218	7.151971884	0.405180758	epithelial_cancer_cells
ELF3	4.182207166	8.182916352	0.600596808	epithelial_cancer_cells
CLDN4	3.687744276	8.736657802	0.605476723	epithelial_cancer_cells
EPCAM	3.614384222	8.458736581	0.598976458	epithelial_cancer_cells
TACSTD2	3.492559684	9.133198988	0.573246296	epithelial_cancer_cells
KRTCAP3	3.415919874	5.750894417	0.422303198	epithelial_cancer_cells
MMP7	3.290613464	8.015764605	0.390215701	epithelial_cancer_cells
CLDN7	3.144380035	8.415512549	0.558844476	epithelial_cancer_cells
SOX17	3.135455129	6.131907302	0.418478233	epithelial_cancer_cells
PRSS22	3.088968082	5.270766999	0.310732656	epithelial_cancer_cells
C1orf186	2.94659799	6.998623383	0.490475294	epithelial_cancer_cells
TSPAN1	2.944858373	6.665356775	0.450916459	epithelial_cancer_cells
CKB	2.913968855	8.273296737	0.581842206	epithelial_cancer_cells
S100A14	2.910612614	6.046301262	0.481696721	epithelial_cancer_cells
LCN2	2.865697326	8.519415496	0.514486263	epithelial_cancer_cells
SMIM22	2.821757035	6.02585655	0.513263366	epithelial_cancer_cells
KLF5	2.466356268	6.652826229	0.441478733	epithelial_cancer_cells
TMEM139	2.412225793	5.84341745	0.40074677	epithelial_cancer_cells
FXYD3	2.379528148	6.71369388	0.428125964	epithelial_cancer_cells
PRSS8	2.362641378	5.537909352	0.354848617	epithelial_cancer_cells
IGF2	2.264825304	6.513186183	0.476074313	epithelial_cancer_cells
LYNX1	1.811624067	5.084607356	0.186462173	epithelial_cancer_cells
WNT7A	1.735642927	5.014922172	0.341063044	epithelial_cancer_cells
SPINT2	1.650163001	9.325641338	0.644323736	epithelial_cancer_cells
KCNK15	1.593899046	6.158267715	0.363703689	epithelial_cancer_cells
LYPD1	1.573337663	6.381870884	0.357273111	epithelial_cancer_cells
SCNN1A	1.512232009	5.963342614	0.422811031	epithelial_cancer_cells
MEDAG	4.18073534	5.467879451	0.219072076	CAFs
FGF7	3.92311743	5.854923903	0.226384469	CAFs
COL1A1	3.895503518	10.79379158	0.472624126	CAFs
DCN	3.882949607	9.678256932	0.444002604	CAFs
SERPINE1	3.778188143	7.44244361	0.356405281	CAFs
COL1A2	3.749818974	10.00990894	0.486291253	CAFs
VCAM1	3.583631483	7.014866668	0.364153483	CAFs
EMILIN1	3.573180176	5.543546707	0.18811177	CAFs
NID2	3.505113126	5.22756835	0.214827206	CAFs
BDKRB1	3.423283051	5.881253965	0.171527255	CAFs
COL3A1	3.348870028	9.890037547	0.48293523	CAFs
RGS4	3.209781783	5.564246576	0.247445517	CAFs
CDH11	3.165936425	5.961619162	0.293059803	CAFs
POSTN	3.095837546	5.102399316	0.132687336	CAFs
GPC3	3.058160903	6.664341559	0.320738218	CAFs
COL5A1	3.034710155	6.873175101	0.334188469	CAFs
CCDC80	3.027389982	8.611131125	0.473083356	CAFs
COL5A2	2.946076544	5.882627289	0.27635445	CAFs
LOX	2.936764596	7.714176016	0.4082971	CAFs
PROCR	2.934422657	8.033063743	0.430370562	CAFs
CALB2	2.749404736	8.126726938	0.415967762	CAFs
SERPINB2	2.743316274	8.404284809	0.354355138	CAFs
TDO2	2.694946081	6.561070616	0.239429811	CAFs
FILIP1L	2.693428046	5.985572083	0.263202803	CAFs
COL8A1	2.687994692	6.485413207	0.343780487	CAFs
PTGER3	2.679166337	6.453632738	0.338813437	CAFs
DPP4	2.666148526	5.405042712	0.293802288	CAFs
PLS3	2.645555018	7.954254309	0.444486255	CAFs
C1R	2.635088225	9.353866577	0.478674732	CAFs
TMEM200A	2.618301243	5.545123744	0.235005202	CAFs
IGFBP4	2.607747684	8.722184417	0.468352772	CAFs
MGP	2.602774473	7.177482122	0.37816965	CAFs
CA12	2.594844491	5.927222441	0.326697866	CAFs
HAS1	2.567655673	6.548308491	0.264467482	CAFs
CFB	2.525358974	9.420496647	0.46748298	CAFs
MRGPRF	2.521046952	5.161557929	0.200580448	CAFs
ACTA2	2.494887097	8.657444427	0.408547658	CAFs
COPZ2	2.461700334	5.07618888	0.219950684	CAFs
SLIT3	2.446125551	5.266805851	0.225008719	CAFs
LINC00162	2.420840654	5.609989861	0.1955247	CAFs
CFH	2.38337771	7.46904539	0.412364898	CAFs
LUM	2.373241149	8.474967688	0.3666341	CAFs
HSPB7	2.370686342	5.469789274	0.270027405	CAFs
FAP	2.329047508	5.103615885	0.183358569	CAFs
EFEMP1	2.31900786	8.28158863	0.454295205	CAFs
VTN	2.297472665	7.242832459	0.408257229	CAFs
OLFML3	2.263655214	5.210106266	0.257645499	CAFs
FBLN1	2.233618437	6.268601879	0.321713286	CAFs
PDPN	2.187557769	7.784724725	0.440725752	CAFs
OSR1	2.140869104	5.796419647	0.303043548	CAFs
SERPINH1	2.13486084	9.150418449	0.464984548	CAFs
MMP2	2.130435647	6.048590908	0.261354885	CAFs
EHD2	2.115659266	5.639750201	0.282939236	CAFs
SLC12A8	2.060187597	6.427606634	0.333024715	CAFs
PRG4	2.039140095	6.930245098	0.263576525	CAFs
C1S	2.014575092	9.452865731	0.482115577	CAFs
IGFBP6	2.002778299	10.96322135	0.494385769	CAFs
RCAN2	1.991041658	5.862945213	0.277645663	CAFs
HTRA1	1.978718357	6.567539501	0.332278293	CAFs
EFEMP2	1.975626823	7.509437116	0.442721681	CAFs
GSTA4	1.953679774	5.371995008	0.247059851	CAFs
TNFRSF11B	1.927013062	7.27516676	0.329729911	CAFs
LIMA1	1.916055033	6.929136771	0.386532534	CAFs
CHI3L2	1.887466311	5.275460756	0.229377067	CAFs
CREB3L1	1.854609015	5.128607352	0.207402449	CAFs
PDLIM3	1.847328159	7.699273804	0.421668452	CAFs
AQP1	1.757674479	6.592320837	0.332312796	CAFs
PTGIS	1.749624071	7.317116092	0.408596463	CAFs
MEIS2	1.743666318	5.034626659	0.230197734	CAFs
MYLK	1.739099332	5.508934912	0.214393807	CAFs
CD248	1.710734763	5.533717267	0.306424774	CAFs
PCOLCE	1.699544305	6.455761172	0.230793668	CAFs
SLC16A1	1.69172458	5.694666485	0.270983804	CAFs
RGS5	1.620204642	5.54147021	0.166694596	CAFs
BMP1	1.617200023	5.489027497	0.237933066	CAFs
SPARC	1.575288257	10.80433366	0.496466786	CAFs
BGN	1.558225719	5.657893199	0.25808445	CAFs
SPON2	1.54775425	6.762034365	0.279245403	CAFs
LAMA4	1.541103497	5.371736777	0.286937667	CAFs
CALD1	1.540991339	8.137115337	0.465839512	CAFs
FBLN2	1.520773434	5.878177596	0.242181707	CAFs
EGFL6	1.506543273	6.594886447	0.378331075	CAFs
UPK3B	1.503671437	9.167189613	0.415638049	CAFs
AIF1	4.007771908	11.50110545	0.749171864	macrophages
MS4A4A	3.896090597	8.988412	0.623362997	macrophages
MS4A6A	3.644532679	9.806007041	0.71230682	macrophages
LY86	3.581450565	7.427286904	0.426791651	macrophages
LRRC25	3.451407349	6.17095672	0.305409697	macrophages
PILRA	3.450682747	6.729460289	0.296687414	macrophages
STAB1	3.370420838	7.536934218	0.458647429	macrophages
VSIG4	3.29118502	9.746052897	0.676041405	macrophages
CD14	3.286566884	11.23437115	0.741802086	macrophages
CD68	3.213972315	10.08580651	0.732754229	macrophages
MS4A7	3.206949753	7.28690029	0.444674769	macrophages
SLCO2B1	3.176910525	5.758855398	0.208734956	macrophages
LILRB2	3.140072357	5.205060262	0.211360571	macrophages
CYBB	3.136297116	6.498778704	0.330219847	macrophages
ASGR1	3.124249722	6.129646941	0.323776701	macrophages
C5AR1	3.007680467	6.243688055	0.319795348	macrophages
CD84	3.002320302	6.509312448	0.284931111	macrophages
CSF1R	2.992796434	6.399906159	0.323894575	macrophages
FCGR1A	2.9854197	6.67393063	0.42735069	macrophages
CD163	2.973062504	8.375713178	0.614048419	macrophages
ADAP2	2.913186866	6.585735787	0.367481904	macrophages
C1QC	2.899628855	10.42486151	0.637644139	macrophages
IGSF6	2.81825075	6.331902907	0.251546632	macrophages
SLC11A1	2.808250778	6.636682342	0.348272951	macrophages
SCIMP	2.802411727	5.490453804	0.244419623	macrophages
CD33	2.786494276	6.128122886	0.274683598	macrophages
RP11-290F20.3	2.780890578	8.089260011	0.538242316	macrophages
FPR1	2.780189474	6.285143449	0.363586933	macrophages
NPL	2.697382305	8.076621811	0.576453695	macrophages
CLEC10A	2.648462959	7.423892331	0.461393928	macrophages
ADORA3	2.642038834	6.985500087	0.345473635	macrophages
HAMP	2.603180893	6.810345173	0.264871324	macrophages
CTSL	2.595247128	11.68866485	0.730579979	macrophages
CD4	2.578963306	5.322991673	0.255093658	macrophages
RNASE2	2.553924621	5.027960855	0.18048807	macrophages
FTL	2.5130971	16.69673903	0.75	macrophages
C3AR1	2.504211974	7.192334677	0.450043426	macrophages
FCGR2A	2.441124176	6.610535242	0.360718625	macrophages
SIGLEC1	2.436529009	5.345709898	0.197786628	macrophages
SPI1	2.346956883	8.566706622	0.645928703	macrophages
C1QB	2.31634205	10.12119644	0.636436736	macrophages
GLUL	2.301121594	10.70093945	0.743188866	macrophages
PTAFR	2.263917823	5.331780274	0.167370087	macrophages
TREM2	2.251186173	6.808849012	0.369909363	macrophages
S100A8	2.243972487	11.04290772	0.73349755	macrophages
MPEG1	2.221605215	5.222461543	0.153675948	macrophages
ITGAM	2.199289632	5.168813755	0.161778274	macrophages
FOLR2	2.191296928	7.352934761	0.4644472	macrophages
HNMT	2.174515417	7.359417073	0.487765603	macrophages
GPR34	2.157963485	5.276834577	0.186716567	macrophages
C1orf54	2.147934046	5.835612467	0.228021599	macrophages
LST1	2.09787012	8.855859213	0.676479434	macrophages
MNDA	2.039252517	6.466133703	0.413406408	macrophages
FBP1	2.029626025	6.344757853	0.328005495	macrophages
CCL8	1.994921918	5.187813285	0.107946231	macrophages
C1QA	1.943545769	10.09589821	0.653549331	macrophages
