Cell type	c01_Malignant	c02_Malignant	c03_Malignant	c04_Malignant	c05_Malignant	c06_Fibroblast	c07_Fibroblast	c08_Fibroblast	c09_Fibroblast	c_10Macrophage	c11_Macrophage	c12_Macrophage	c13_Macrophage	c14_DC	c15_DC	c16_B cells	c17_T cells	c18_Erythrocytes
AL627309.1	0	0.075920409	0.012209851	0	0.050479042	0.00977454	0	0.027848848	0.027649668	0.187271362	0.034063133	0.306851347	0.255361883	0	0	0.011545587	0	0
LINC00115	0	0.034720034	0.022139967	0.091538582	0.389304374	0.100172702	0.090993017	0.042002467	0.096886721	0.028183404	0.03272781	0	0.005775298	0	0	0.030445393	0.050482813	0.196973767
SAMD11	0	0.090364084	0.296750064	0.108221268	1.433952146	0.908342927	0	0.232429976	0.524972967	0.01732908	0	0	0.001261207	0	0	0.009266472	0	0
NOC2L	1.388375865	2.701961694	2.274466083	2.104985561	2.194830697	1.91996293	1.227614334	1.102089315	1.96587383	0.841475686	0.537858191	0.59792426	0.204353459	1.349327071	0.491836725	1.44081355	1.012610159	1.488963694
HES4	1.208356937	2.150143285	2.130276331	0.760669918	1.559889285	1.139940935	0.520757715	0.358097039	0.497059032	0.027922568	0.099514534	0	0.014223152	0.213383102	0.063243138	0.081914296	0.066020824	0.274037624
ISG15	5.99727565	6.123421589	3.286686381	2.365942194	5.56073525	6.523152425	5.207160614	2.342674629	2.477837949	3.331489371	5.262701705	4.235161983	2.318779311	3.925666072	1.127304596	3.606656499	4.700904591	3.282887371
AGRN	2.053705594	4.221713229	2.527151102	0.322711892	0.992012306	1.341508293	0.203632455	0.506605407	0.869667465	0.056090118	0.067440394	0.106297025	0.100519995	0.217030853	0.281287726	0.340991493	0.141941369	0.144671578
C1orf159	0	0.64632366	0.534147572	0.267770432	0.132864249	0.193250705	0.118340889	0.102341873	0.195983383	0.057194627	0.038169599	0.088229973	0.030539226	0	0.054916726	0.081590671	0.053592589	0.214607737
TNFRSF18	2.275131178	4.169393803	0.062038442	0.373930914	0.224955258	0.12747536	0.487979849	0.17231084	0.13046139	0.107207267	0.03272781	0.145271675	0.005571403	0.167090997	0.312861021	0.695536116	3.088031477	0.360000735
TNFRSF4	0.283685562	1.029819119	0.083580234	0.035399667	0.148090903	0.058079224	0.064986693	0.009599189	0.043901084	0.070154594	0.041337623	0.156500203	0.0173917	0	0.816033353	0.301457404	1.356165121	0.064536312
SDF4	1.36672549	4.026024323	2.669971924	2.453256019	2.429092736	4.190623042	2.058859173	3.673192029	4.060436592	1.519178659	1.054331612	1.232351142	0.914458023	1.079455643	1.212733404	3.507403783	1.342705012	1.6487965
B3GALT6	0	1.290189413	1.265460356	0.259668123	0.475187177	0.447415673	0.070433414	0.222486018	0.496676617	0.146814937	0.168207465	0.210275148	0.101409026	0	0.057571576	0.200471797	0.196023997	0.042073366
UBE2J2	0.565903632	3.888220744	2.834511476	2.695164918	2.242731183	2.710657614	0.951161623	1.955888641	2.569556143	1.067902718	1.002694147	0.938120649	0.407769992	0.975666399	0.98147996	2.44286358	1.043957238	2.130489323
ACAP3	0.60233615	1.365570031	0.561495002	0.331583185	0.575831853	0.420079255	0.189790058	0.244486599	0.380117095	0.13197383	0.09541696	0.252600586	0.052629951	0	0	0.236069165	0.153392211	0.283864175
