"","category","marker","Approved","Suggested.Symbol"
"1","cat1","CD63",TRUE,"CD63"
"2","cat1","CD81",TRUE,"CD81"
"3","cat1","CD82",TRUE,"CD82"
"4","cat1","CD9",TRUE,"CD9"
"5","cat1","CD47",TRUE,"CD47"
"6","cat1","GNAI1",TRUE,"GNAI1"
"7","cat1","GNAI2",TRUE,"GNAI2"
"8","cat1","GNAI3",TRUE,"GNAI3"
"9","cat1","GNAO1",TRUE,"GNAO1"
"10","cat1","GNAT1",TRUE,"GNAT1"
"11","cat1","GNAT2",TRUE,"GNAT2"
"12","cat1","GNAT3",TRUE,"GNAT3"
"13","cat1","GNAZ",TRUE,"GNAZ"
"14","cat1","GNAQ",TRUE,"GNAQ"
"15","cat1","GNA11",TRUE,"GNA11"
"16","cat1","GNA14",TRUE,"GNA14"
"17","cat1","GNA15",TRUE,"GNA15"
"18","cat1","GNAL",TRUE,"GNAL"
"19","cat1","GNAS",TRUE,"GNAS"
"20","cat1","GNB1",TRUE,"GNB1"
"21","cat1","GNB2",TRUE,"GNB2"
"22","cat1","GNB3",TRUE,"GNB3"
"23","cat1","GNB4",TRUE,"GNB4"
"24","cat1","GNB5",TRUE,"GNB5"
"25","cat1","GNGT1",TRUE,"GNGT1"
"26","cat1","GNGT2",TRUE,"GNGT2"
"27","cat1","GNG2",TRUE,"GNG2"
"28","cat1","GNG3",TRUE,"GNG3"
"29","cat1","GNG4",TRUE,"GNG4"
"30","cat1","GNG5",TRUE,"GNG5"
"31","cat1","GNG7",TRUE,"GNG7"
"32","cat1","GNG8",TRUE,"GNG8"
"33","cat1","GNG10",TRUE,"GNG10"
"34","cat1","GNG11",TRUE,"GNG11"
"35","cat1","GNG12",TRUE,"GNG12"
"36","cat1","GNG13",TRUE,"GNG13"
"37","cat1","GNG14",TRUE,"GNG14"
"38","cat1","HLA-A/B/C",FALSE,"HLA-A/B/C"
"39","cat1","H2-K/D/Q",FALSE,"H2-K/D/Q"
"40","cat1","ITGA1",TRUE,"ITGA1"
"41","cat1","ITGA2",TRUE,"ITGA2"
"42","cat1","ITGA3",TRUE,"ITGA3"
"43","cat1","ITGA4",TRUE,"ITGA4"
"44","cat1","ITGA5",TRUE,"ITGA5"
"45","cat1","ITGA6",TRUE,"ITGA6"
"46","cat1","ITGA7",TRUE,"ITGA7"
"47","cat1","ITGA8",TRUE,"ITGA8"
"48","cat1","ITGA9",TRUE,"ITGA9"
"49","cat1","ITGA10",TRUE,"ITGA10"
"50","cat1","ITGA11",TRUE,"ITGA11"
"51","cat1","ITGB1",TRUE,"ITGB1"
"52","cat1","ITGB2",TRUE,"ITGB2"
"53","cat1","ITGB3",TRUE,"ITGB3"
"54","cat1","ITGB4",TRUE,"ITGB4"
"55","cat1","ITGB5",TRUE,"ITGB5"
"56","cat1","ITGB6",TRUE,"ITGB6"
"57","cat1","ITGB7",TRUE,"ITGB7"
"58","cat1","ITGB8",TRUE,"ITGB8"
"59","cat1","TFR2",TRUE,"TFR2"
"60","cat1","LAMP1/2",FALSE,"LAMP1/2"
"61","cat1","SDC1",TRUE,"SDC1"
"62","cat1","SDC2",TRUE,"SDC2"
"63","cat1","SDC3",TRUE,"SDC3"
"64","cat1","SDC4",TRUE,"SDC4"
"65","cat1","BSG",TRUE,"BSG"
"66","cat1","ADAM10",TRUE,"ADAM10"
"67","cat1","NT5E",TRUE,"NT5E"
"68","cat1","CD55",TRUE,"CD55"
"69","cat1","CD59",TRUE,"CD59"
"70","cat1","SHH",TRUE,"SHH"
"71","cat1","TSPAN8",TRUE,"TSPAN8"
"72","cat1","CD37",TRUE,"CD37"
"73","cat1","CD53",TRUE,"CD53"
"74","cat1","PECAM1",TRUE,"PECAM1"
"75","cat1","ERBB2",TRUE,"ERBB2"
"76","cat1","EPCAM",TRUE,"EPCAM"
"77","cat1","THY1",TRUE,"THY1"
"78","cat1","PTPRC",TRUE,"PTPRC"
"79","cat1","GP9",TRUE,"GP9"
"80","cat1","GYPA",TRUE,"GYPA"
"81","cat1","CD14",TRUE,"CD14"
"82","cat1","HLA-DR/DP/DQ",FALSE,"HLA-DR/DP/DQ"
"83","cat1","H2-A",FALSE,"H2-A"
"84","cat1","CD3E",TRUE,"CD3E"
"85","cat1","CD3D",TRUE,"CD3D"
"86","cat1","CD3G",TRUE,"CD3G"
"87","cat1","CD3Z",FALSE,"CD247"
"88","cat1","AChE-E",FALSE,"AChE-E"
"89","cat1","APP",TRUE,"APP"
"90","cat1","ABCC1",TRUE,"ABCC1"
"91","cat2","TSG101",TRUE,"TSG101"
"92","cat2","CHMP1A",TRUE,"CHMP1A"
"93","cat2","CHMP1B",TRUE,"CHMP1B"
"94","cat2","CHMP2A",TRUE,"CHMP2A"
"95","cat2","CHMP2B",TRUE,"CHMP2B"
"96","cat2","CHMP3",TRUE,"CHMP3"
"97","cat2","CHMP4A",TRUE,"CHMP4A"
"98","cat2","CHMP4B",TRUE,"CHMP4B"
"99","cat2","CHMP4C",TRUE,"CHMP4C"
"100","cat2","CHMP5",TRUE,"CHMP5"
