"","symbol","NMF.rank","MMF.localization","SAFE.domain","SAFE.localization","Entrez","BioGRID","HGNC","RefSeq","UniProt","Approved","Suggested.Symbol"
"1","AAAS",13,"mitochondrial outer membrane, peroxisome","19","nuclear outer membrane-ER membrane network",8086,113759,"HGNC:13666","NM_001173466","Q9NRG9",TRUE,"AAAS"
"2","AAK1",5,"actin cytoskeleton, cytosol","1","no prediction",22848,116520,"HGNC:19679","NM_014911","Q2M2I8",TRUE,"AAK1"
"3","AAR2",19,"miscellaneous","5","spliceosomal complex I",25980,117464,"HGNC:15886","NM_015511","Q9Y312",TRUE,"AAR2"
"4","AARS2",6,"ER lumen","4","ER lumen",57505,121569,"HGNC:21022","NM_020745","Q5JTZ9",TRUE,"AARS2"
"5","AASDH",2,"chromatin","22","chromatin, nucleoplasm",132949,126342,"HGNC:23993","NM_181806","Q4L235",TRUE,"AASDH"
"6","AASS",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",10157,115459,"HGNC:17366","NM_005763","Q9UDR5",TRUE,"AASS"
"7","AATF",8,"nucleolus","3","splicing speckles, nucleolus",26574,117743,"HGNC:19235","NM_012138","Q9NY61",TRUE,"AATF"
"8","ABCA3",14,"Golgi apparatus","19","nuclear outer membrane-ER membrane network",21,106539,"HGNC:33","NM_001089","Q99758",TRUE,"ABCA3"
"9","ABCB1",20,"early endosome, recycling endosome","1","no prediction",5243,111262,"HGNC:40","NM_000927","P08183",TRUE,"ABCB1"
"10","ABCB10",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",23456,117020,"HGNC:41","NM_012089","Q9NRK6",TRUE,"ABCB10"
"11","ABCB7",13,"mitochondrial outer membrane, peroxisome","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",22,106540,"HGNC:48","NM_004299","O75027",TRUE,"ABCB7"
"12","ABCC1",11,"plasma membrane","20","cell junction, plasma membrane",4363,110503,"HGNC:51","NM_004996","P33527",TRUE,"ABCC1"
"13","ABCC4",3,"ER membrane","19","nuclear outer membrane-ER membrane network",10257,115551,"HGNC:55","NM_005845","O15439",TRUE,"ABCC4"
"14","ABCC5",11,"plasma membrane","20","cell junction, plasma membrane",10057,115368,"HGNC:56","NM_005688","O15440",TRUE,"ABCC5"
"15","ABCD1",13,"mitochondrial outer membrane, peroxisome","2","mitochondrial outer membrane, peroxisome",215,106717,"HGNC:61","NM_000033","P33897",TRUE,"ABCD1"
"16","ABCD3",13,"mitochondrial outer membrane, peroxisome","2","mitochondrial outer membrane, peroxisome",5825,111783,"HGNC:67","NM_002858","P28288",TRUE,"ABCD3"
"17","ABCE1",19,"miscellaneous","-","-",6059,111986,"HGNC:69","NM_002940","P61221",TRUE,"ABCE1"
"18","ABCF2",11,"plasma membrane","-","-",10061,115372,"HGNC:71","NM_005692","Q9UG63",TRUE,"ABCF2"
"19","ABCF3",16,"cytoplasmic ribonucleoprotein granule","13","cytoplasmic ribonucleoprotein granule",55324,120605,"HGNC:72","NM_018358","Q9NUQ8",TRUE,"ABCF3"
"20","ABHD10",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",55347,120628,"HGNC:25656","NM_018394","Q9NUJ1",TRUE,"ABHD10"
"21","ABHD12",6,"ER lumen","4","ER lumen",26090,117541,"HGNC:15868","NM_015600","Q8N2K0",TRUE,"ABHD12"
"22","ABI1",1,"cell junction","20","cell junction, plasma membrane",10006,115324,"HGNC:11320","NM_005470","Q8IZP0",TRUE,"ABI1"
"23","ABI2",11,"plasma membrane","20","cell junction, plasma membrane",10152,115454,"HGNC:24011","NM_005759","Q9NYB9",TRUE,"ABI2"
"24","ABL2",11,"plasma membrane","20","cell junction, plasma membrane",27,106545,"HGNC:77","NM_005158","P42684",TRUE,"ABL2"
"25","ABLIM1",1,"cell junction","-","-",3983,110171,"HGNC:78","NM_001003407","O14639",TRUE,"ABLIM1"
"26","ABR",11,"plasma membrane","20","cell junction, plasma membrane",29,106547,"HGNC:81","NM_001092","Q12979",TRUE,"ABR"
"27","ABRAXAS1",12,"centrosome","1","no prediction",84142,123911,"HGNC:25829","NM_139076","Q6UWZ7",TRUE,"ABRAXAS1"
"28","ACAA1",12,"centrosome","2","mitochondrial outer membrane, peroxisome",30,106548,"HGNC:82","NM_001607","P09110",TRUE,"ACAA1"
"29","ACAD11",19,"miscellaneous","2","mitochondrial outer membrane, peroxisome",84129,123902,"HGNC:30211","NM_032169","Q709F0",TRUE,"ACAD11"
"30","ACAD9",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",28976,118799,"HGNC:21497","NM_014049","Q9H845",TRUE,"ACAD9"
"31","ACADM",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",34,106552,"HGNC:89","NM_000016","P11310",TRUE,"ACADM"
"32","ACADSB",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",36,106554,"HGNC:91","NM_001609","P45954",TRUE,"ACADSB"
"33","ACADVL",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",37,106555,"HGNC:92","NM_000018","P49748",TRUE,"ACADVL"
"34","ACAP2",11,"plasma membrane","1","no prediction",23527,117073,"HGNC:16469","NM_012287","Q15057",TRUE,"ACAP2"
"35","ACAT1",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",38,106556,"HGNC:93","NM_000019","P24752",TRUE,"ACAT1"
"36","ACBD3",14,"Golgi apparatus","9","Golgi apparatus",64746,122262,"HGNC:15453","NM_022735","Q9H3P7",TRUE,"ACBD3"
"37","ACBD4",13,"mitochondrial outer membrane, peroxisome","2","mitochondrial outer membrane, peroxisome",79777,122878,"HGNC:23337","NM_024722","Q8NC06",TRUE,"ACBD4"
"38","ACBD5",13,"mitochondrial outer membrane, peroxisome","2","mitochondrial outer membrane, peroxisome",91452,124836,"HGNC:23338","NM_145698","Q5T8D3",TRUE,"ACBD5"
"39","ACIN1",10,"nuclear body","3","splicing speckles, nucleolus",22985,116634,"HGNC:17066","NM_014977","Q9UKV3",TRUE,"ACIN1"
"40","ACO2",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",50,106566,"HGNC:118","NM_001098","Q99798",TRUE,"ACO2"
"41","ACOT1",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",641371,534965,"HGNC:33128","NM_001037161","Q86TX2",TRUE,"ACOT1"
"42","ACOT2",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",10965,116164,"HGNC:18431","NM_006821","P49753",TRUE,"ACOT2"
"43","ACOT7",19,"miscellaneous","-","-",11332,116460,"HGNC:24157","NM_007274","O00154",TRUE,"ACOT7"
"44","ACOT8",12,"centrosome","2","mitochondrial outer membrane, peroxisome",10005,115323,"HGNC:15919","NM_183386","O14734",TRUE,"ACOT8"
"45","ACOT9",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",23597,117132,"HGNC:17152","NM_012332","Q9Y305",TRUE,"ACOT9"
"46","ACOX1",12,"centrosome","2","mitochondrial outer membrane, peroxisome",51,106567,"HGNC:119","NM_001185039","Q15067",TRUE,"ACOX1"
"47","ACSF3",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",197322,128248,"HGNC:27288","NM_174917","Q4G176",TRUE,"ACSF3"
"48","ACSL3",15,"nuclear outer membrane-ER membrane network","19","nuclear outer membrane-ER membrane network",2181,108477,"HGNC:3570","NM_004457","O95573",TRUE,"ACSL3"
"49","ACSL4",13,"mitochondrial outer membrane, peroxisome","2","mitochondrial outer membrane, peroxisome",2182,108478,"HGNC:3571","NM_004458","O60488",TRUE,"ACSL4"
"50","ACSS1",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",84532,124122,"HGNC:16091","NM_032501","Q9NUB1",TRUE,"ACSS1"
"51","ACTA1",11,"plasma membrane","-","-",58,106573,"HGNC:129","NM_001100","P68133",TRUE,"ACTA1"
"52","ACTA2",5,"actin cytoskeleton, cytosol","-","-",59,106574,"HGNC:130","NM_001613","P62736",TRUE,"ACTA2"
"53","ACTB",19,"miscellaneous","-","-",60,106575,"HGNC:132","NM_001101","P60709",TRUE,"ACTB"
"54","ACTBL2",5,"actin cytoskeleton, cytosol","7","actin cytoskeleton",345651,131362,"HGNC:17780","NM_001017992","Q562R1",TRUE,"ACTBL2"
"55","ACTC1",5,"actin cytoskeleton, cytosol","20","cell junction, plasma membrane",70,106585,"HGNC:143","NM_005159","P68032",TRUE,"ACTC1"
