"","Suggested.Symbol","name","ID","U7","S7","B7","U8","S8","B8","U9","S9","B9","U10","S10","B10","U11","S11","B11","C1","C2","C3","C4","C5","U1","S1","B1","U2","S2","B2","U3","S3","B3","U4","S4","B4","U5","S5","B5","U6","S6","B6"
"1","NUDT11","NUDT11","Q96G61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2338.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","IGKV3-7","IGKV3-7","A0A075B6H7",32688,12675,41167,65043,9559.4,371160,12726,5520.1,0,42839,17856,171280,43514,10935,1768.9,0,49317,0,0,0,0,13862,11620,0,10608,16077,0,10635,4554.3,22479,18574,5742.1,0,23817,0,0,6969,24506
"3","IGLV4-69","IGLV4-69","A0A075B6H9",144970,0,51802,175650,0,57406,267010,0,44937,516080,30142,72546,78404,10932,109660,28637,19263,64275,18935,0,22665,28630,94989,122420,79014,215960,16428,0,100980,323030,980.65,75669,101490,55512,221730,102900,0,79940
"4","IGLV8-61","IGLV8-61","A0A075B6I0",8521.2,0,88108,10949,0,55889,802.92,26178,24431,13107,9943.3,87935,7683,16818,8809.5,0,60976,0,0,0,0,67381,73408,0,29839,8778.6,0,12430,13984,5004.1,18018,7169.6,0,27948,0,0,0,18007
"5","IGLV4-60","IGLV4-60","A0A075B6I1",13865,0,11188,8937.1,0,0,0,0,0,57802,0,18313,14156,2173.2,8155.8,23818,0,0,0,0,0,7789.2,16622,0,0,0,0,0,16183,0,0,0,7124.8,6805.7,17531,0,0,19137
"6","IGLV10-54","IGLV10-54","A0A075B6I4",57203,0,13973,33611,0,0,15922,0,0,273030,0,0,71671,28606,69737,63045,0,0,0,0,0,103280,0,573110,0,339850,0,0,0,27368,0,0,0,0,0,554400,0,27885
"7","IGLV7-46","IGLV7-46","A0A075B6I9",0,0,0,43645,0,26683,0,0,94719,150220,0,95197,76132,0,0,0,96308,0,0,37089,0,0,113600,0,0,96813,0,0,14218,0,0,0,0,10340,0,0,0,0
"8","IGLV5-37","IGLV5-37","A0A075B6J1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,648.78,0,0,0,39479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7644.7,0,0,0
"9","IGLV2-18","IGLV2-18","A0A075B6J9",31471,17683,60153,43898,0,29158,7216.2,0,0,15436,0,23120,29130,0,0,26480,23180,37550,0,0,0,0,0,0,20196,0,0,0,45441,57975,58271,135630,0,93951,0,0,0,0
"10","IGLV3-16","IGLV3-16","A0A075B6K0",54816,0,75091,52173,11543,122880,18527,0,46938,142780,0,230110,65303,45905,277000,0,13089,0,418790,80827,0,46965,0,248980,0,238720,67360,0,123670,71464,0,315930,310310,75070,651030,375980,0,0
"11","IGLV3-12","IGLV3-12","A0A075B6K2",0,0,1020.3,0,0,0,0,0,0,10113,0,9607.5,0,0,6250.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","IGLV3-10","IGLV3-10","A0A075B6K4",454960,0,775840,342390,0,148860,130380,0,700990,698750,51014,467850,608320,39393,20291,235600,60197,324020,0,486170,18203,0,506390,414740,0,1297900,0,0,70129,146140,0,517710,84989,238830,202580,242780,0,75000
"13","IGLV3-9","IGLV3-9","A0A075B6K5",616530,20839,242570,134580,68676,550570,1148800,108470,151450,329500,62757,155200,152520,85540,242090,71360,37346,0,0,33613,105040,9735.3,298650,16693,30702,224120,0,61294,199400,119090,3159.9,43596,178710,223780,436940,8605.1,0,80678
"14","IGKV2D-28","IGKV2D-28","A0A075B6P5",4212.8,0,0,22247,0,0,8646,0,0,15631,0,0,21560,0,0,9304,9846,0,0,0,6137.8,0,0,20534,0,31684,0,0,0,17069,0,0,0,0,5500.5,0,0,0
"15","IGHV3-64","IGHV3-64","A0A075B6Q5",33331,0,22569,15344,0,5972.8,0,0,0,11978,0,0,0,0,0,0,7978.5,0,0,0,0,526.57,0,0,0,0,0,0,0,0,0,6558.1,0,0,72936,0,0,0
"16","IGHV4-4","IGHV4-4","A0A075B6R2",0,0,0,1289.1,0,10720,2387.1,0,5530.7,0,0,7717.7,11212,2175.6,13888,0,0,3404.4,0,0,4241.9,2124.5,1108.2,6831.9,0,10001,0,0,0,4185.7,4258.5,8341.7,24536,2222.8,30926,1639.9,0,0
"17","IGKV2-24","IGKV2-24","A0A0C4DH68",170840,0,51284,129700,7006.8,163490,60452,0,5008.6,266130,36622,184670,189570,20080,39378,88377,120830,19404,0,76658,20662,21905,25091,25889,17105,0,0,9720.7,18098,171290,43438,67677,37267,52622,0,29922,0,0
"18","IGKV2D-29","IGKV2D-29","A0A075B6S2",415340,49478,414350,548820,94655,541610,274710,150570,441340,479660,126320,405440,520260,179060,260610,590650,292360,540480,36207,168200,76333,135840,67623,84959,217750,79389,119260,92308,2599.4,436140,297360,379050,109730,289820,194570,65764,0,326120
"19","IGKV1D-17","IGKV1D-17","A0A075B6S4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8327.2,0,0,0
"20","IGKV1-27","IGKV1-27","A0A075B6S5",6861.2,0,22705,10696,0,22213,16345,2737.2,22826,109310,8488.5,39172,27972,0,27968,32096,7350.9,28300,15904,9435,14289,3852.8,32900,72998,4045.5,29953,6716.7,0,14269,14866,4459.7,36307,45223,0,60279,22150,0,4742.5
"21","IGKV1D-37","IGKV1D-37","P0DSN7",0,0,0,10163,0,34270,0,0,30817,12114,0,110320,2631.1,0,0,0,10134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","IGHV3OR16-12","IGHV3OR16-12","A0A075B7B8",64438,0,0,121510,0,0,0,0,0,58376,0,6155.3,173110,0,0,0,136610,0,0,0,0,0,8488.5,0,0,0,0,6502.1,0,79874,0,0,0,0,0,0,0,0
"23","IGHV1OR15-1","IGHV1OR15-1","A0A075B7D0",52333,0,0,55498,0,3867.1,15221,3126.8,8650.7,1689.7,0,3089.2,60379,3584.2,24102,0,0,9589,0,0,0,2501.1,8087.6,4176.8,31048,97238,0,0,4887.3,0,0,0,12604,17764,0,0,0,4521.5
"24","IGHV3OR15-7","IGHV3OR15-7","A0A075B7D8",4072.2,0,0,23687,0,0,0,0,0,0,0,28522,43004,0,11077,30404,18179,52164,0,0,0,0,76673,0,0,8884,0,0,0,12416,0,0,0,0,0,0,0,0
"25","IGHV4-31","IGHV4-31","A0A087WSY4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9854.3,0,0,0
"26","IGKV1D-8","IGKV1D-8","A0A087WSZ0",0,0,0,11544,0,18089,1899.6,0,27757,19456,0,30140,4692,0,0,5964.4,0,3530.8,0,0,0,0,16288,0,0,20419,0,0,26167,0,6299.5,27229,0,0,26812,0,0,14325
"27","TMEM265","TMEM265","A0A087WTH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12646,0,0,3965,0,0
"28","IGKV2-40","IGKV2-40","P01614",6505.3,0,16101,11348,0,17856,0,0,0,20982,0,17674,16996,0,3703,0,0,3650.7,0,0,0,0,25756,0,0,0,0,0,29534,1814.6,0,26658,0,0,0,0,0,20232
"29","IGHV1-45","IGHV1-45","A0A0A0MS14",0,0,0,4881.3,0,4714.2,1320.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","IGHV3-49","IGHV3-49","A0A0A0MS15",65997,0,64785,88313,11750,86979,34425,17790,86437,46779,8288.9,44702,98592,23613,25248,55267,21595,46704,0,11477,16108,38778,131020,1881.3,50229,17335,0,0,45403,47714,23307,52213,0,37629,46799,0,3914,31711
"31","IGKV6D-21","IGKV6D-21","A0A0A0MT36",19368,0,11577,15840,0,14813,18714,0,70032,36383,0,17274,20043,1423.9,33265,15265,4733.9,25851,0,11578,4840.7,6079.8,19625,13911,14789,22849,0,0,13688,7917.7,0,37352,0,2364.5,29027,0,0,4809.8
