"","category","marker","Gene.name.updated","U1","U2","U3","U4","U5","U6","U7","U8","U9","U10","U11","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11"
"1","cat1","CD63","CD63",33202,9917.5,16396,80003,20336,0,53349,119480,38593,10673,84231,5979.4,0,6660.9,0,7496.4,4334.7,22981,5346,0,7500.9,4235.2,0,0,0,0,0,0,0,0,0,0,0
"2","cat1","CD81","CD81",189540,2414.7,482610,779210,17571,25544,548590,582920,1659000,302630,448610,153750,179960,105570,226480,83477,138210,79540,111100,131000,148700,175290,0,0,0,0,0,0,0,0,0,0,0
"3","cat1","CD82","CD82",40176,63903,27439,57936,116600,66517,112080,147720,237930,43037,93038,13498,47071,2837.6,20840,51597,28819,30986,69803,15670,15671,32719,0,0,0,0,0,0,0,0,0,0,0
"4","cat1","CD9","CD9",3649200,421810,755590,1059000,634190,330920,2019800,2510100,2920600,482810,1173300,906520,260260,76545,480450,214210,135240,209940,800520,231480,232910,412080,0,0,0,0,0,734.46,0,3855.4,0,0,0
"5","cat1","CD47","CD47",0,0,1932.3,1083.4,3835,9154,2891,13433,4767.2,1646.2,6321.4,14877,6703.4,5269.5,24154,41605,0,31810,12797,5557.8,7325.9,50530,0,0,0,0,0,0,0,0,0,0,0
"6","cat1","GNAI1","GNAI1",14794,5672.8,24285,35649,11009,21774,32601,31903,36693,9907.5,27091,6173.3,8125.6,11690,13441,14612,7528.5,7807.5,3920.6,1936.7,2185.1,8719.9,0,0,0,0,0,0,0,0,0,0,0
"7","cat1","GNAI2","GNAI2",567090,1091800,976610,1102400,790670,585120,1258000,1318400,2658300,453140,1065400,201910,427240,237210,410450,194850,246570,279030,161510,212480,188150,304340,0,0,0,7308.2,0,0,0,0,0,0,158.37
"8","cat1","GNAI3","GNAI3",40926,27747,57075,157890,116900,11465,191140,376780,373840,86370,173220,28662,63993,2692.7,70111,50688,28617,20584,89106,14891,8301.7,56581,0,0,0,0,0,0,0,0,0,0,0
"9","cat1","GNAO1","GNAO1",0,0,0,1963.7,0,1707,2404.6,1391.7,0,555.97,9765.6,0,0,0,0,0,0,0,0,0,0,2108.9,0,0,0,0,0,0,0,0,0,0,0
"10","cat1","GNAT1","GNAT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","cat1","GNAT2","GNAT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","cat1","GNAT3","GNAT3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","cat1","GNAZ","GNAZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","cat1","GNAQ","GNAQ",47596,57312,69113,68987,80899,28584,49290,46823,120770,18080,37516,10945,11465,10524,37006,15326,20289,11644,2800.4,3590,3386.7,5993.9,0,0,0,0,0,0,0,0,0,0,0
"15","cat1","GNA11","GNA11",47824,53814,101860,69413,88769,39648,77768,51269,92344,18063,51759,13267,14658,6488.5,59141,36934,24987,24089,767.73,1968.5,871.6,20926,0,0,0,0,0,0,0,0,0,0,0
"16","cat1","GNA14","GNA14",5603.3,2006.2,9666.5,8558.6,5467.6,14405,7123.2,3759.8,12390,2148.7,1524.1,596.13,1728.8,1556.2,3220.6,3085,3154.8,1539.3,458.65,180.25,0,1280.4,0,0,0,0,1248.9,0,0,0,0,0,0
