"","Suggested.Symbol","U1","S1","U2","S2","U3","S3","U4","S4","U5","S5","U6","S6","U7","S7","U8","S8","U9","S9","U10","S10","U11","S11","name","ID"
"1","NUDT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUDT11","Q96G61"
"2","IGKV3-7",NA,NA,NA,NA,NA,NA,NA,NA,NA,23817,NA,NA,NA,NA,NA,NA,12726,5520.1,NA,NA,NA,NA,"IGKV3-7","A0A075B6H7"
"3","IGLV4-69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGLV4-69","A0A075B6H9"
"4","IGLV8-61",NA,NA,NA,NA,NA,NA,NA,NA,NA,27948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGLV8-61","A0A075B6I0"
"5","IGLV4-60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8937.1,NA,NA,NA,NA,NA,NA,NA,"IGLV4-60","A0A075B6I1"
"6","IGLV10-54",NA,103280,NA,NA,NA,NA,27368,NA,NA,NA,NA,NA,NA,NA,33611,NA,15922,NA,273030,NA,NA,NA,"IGLV10-54","A0A075B6I4"
"7","IGLV7-46",NA,NA,NA,NA,NA,NA,NA,NA,NA,10340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76132,NA,"IGLV7-46","A0A075B6I9"
"8","IGLV5-37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGLV5-37","A0A075B6J1"
"9","IGLV2-18",NA,NA,NA,20196,NA,NA,NA,NA,NA,93951,NA,NA,NA,NA,NA,NA,7216.2,NA,NA,NA,29130,NA,"IGLV2-18","A0A075B6J9"
"10","IGLV3-16",NA,46965,NA,NA,NA,NA,NA,NA,NA,NA,375980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGLV3-16","A0A075B6K0"
