"","value","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11"
"1","HLA-DRA",1,1,1,1,1,0,1,1,1,1,1
"2","IGLV5-45",1,0,0,0,0,0,0,0,0,0,0
"3","ESYT2",1,0,1,1,1,1,0,0,0,0,1
"4","ILVBL",1,1,1,1,0,1,0,0,0,0,0
"5","WDR91",1,0,0,0,0,0,0,0,0,0,0
"6","MYO1G",1,1,1,1,1,1,1,0,1,1,1
"7","SMIM1",1,1,1,1,0,1,0,0,0,0,0
"8","GPR89B",1,0,0,0,0,0,0,0,0,0,0
"9","NACA",1,1,1,1,1,1,1,1,0,0,1
"10","SMIM22",1,0,1,1,0,0,1,0,0,0,0
"11","AGPS",1,1,1,1,0,1,0,0,0,0,0
"12","PDLIM1",1,1,0,1,1,0,1,0,0,0,0
"13","MYO1C",1,1,1,0,0,1,1,1,1,1,1
"14","MYO1F",1,1,1,1,0,1,0,0,1,1,1
"15","SNAP23",1,1,1,1,1,1,1,1,1,1,0
"16","LGALS9",1,1,1,1,1,1,1,1,0,0,1
"17","STXBP3",1,1,1,1,1,1,1,1,1,1,1
"18","AP3B1",1,0,1,0,0,1,0,0,0,0,0
"19","PGRMC1",1,1,1,1,1,1,0,0,0,1,1
"20","EIF3F",1,1,1,1,1,1,1,1,0,0,1
"21","SLC33A1",1,0,0,0,0,1,1,0,0,0,0
"22","IPO5",1,1,1,1,1,1,1,1,1,1,1
"23","GOLIM4",1,0,0,0,0,0,0,0,0,0,0
"24","PLOD2",1,0,0,0,0,0,1,0,0,1,0
"25","SDCBP",1,1,1,1,1,0,1,1,1,1,1
"26","NOP56",1,0,1,0,0,1,0,1,0,0,0
"27","DDX3X",1,1,1,1,1,1,1,0,0,0,0
"28","PODXL",1,1,1,1,1,0,1,1,1,1,1
"29","FCN1",1,1,1,1,1,1,1,1,1,1,1
"30","PDXK",1,1,1,1,1,1,1,1,1,0,1
"31","CYB561D2",1,0,0,1,0,0,0,0,0,0,0
"32","COPE",1,1,1,1,1,1,0,1,0,0,1
"33","GOSR2",1,0,0,1,1,0,0,0,0,0,1
"34","ADAM10",1,1,1,1,0,1,1,1,1,1,0
"35","ITGB1BP1",1,0,0,0,0,0,1,0,0,0,1
"36","CDIPT",1,0,1,1,0,0,0,0,0,0,1
"37","SLC9A3R1",1,1,1,1,1,1,1,1,1,1,1
"38","TSPAN4",1,1,0,1,0,1,0,0,0,0,1
"39","PSMA7",1,0,1,1,0,1,0,0,0,1,0
"40","SCAMP3",1,1,1,1,0,1,0,1,0,0,1
"41","IFIT3",1,0,1,0,0,0,0,0,0,0,0
"42","MGST3",1,1,1,1,1,1,0,0,0,0,1
"43","GIPC1",1,1,1,1,1,1,1,1,0,0,1
"44","MYL12B",1,1,0,1,1,0,1,1,1,1,0
"45","HGS",1,0,0,0,0,1,0,0,0,0,0
"46","CLGN",1,0,0,0,0,0,0,0,0,0,0
"47","HNRNPDL",1,0,0,0,1,0,0,0,0,0,1
"48","XPO1",1,0,1,1,1,1,1,0,0,1,1
"49","SEC16A",1,1,0,0,0,0,0,0,0,0,0
"50","PLXNB2",1,1,1,1,1,0,1,1,1,1,0
"51","DEGS1",1,0,0,0,1,0,0,0,0,0,0
"52","SCAMP1",1,0,0,1,0,0,0,0,0,0,0
"53","SCAMP2",1,1,1,1,1,0,0,0,0,0,1
"54","ARPC2",1,1,1,1,0,1,1,0,1,0,1
"55","ARPC3",1,0,1,1,1,1,1,0,1,1,1
"56","PLSCR1",1,1,1,1,1,1,1,1,1,1,1
"57","PGRMC2",1,1,1,1,1,1,1,0,0,1,1
"58","LAMA5",1,1,0,0,0,1,0,0,0,0,0
"59","LEPROT",1,0,1,1,0,0,0,0,0,0,1
"60","RER1",1,1,1,1,1,1,1,1,0,1,0
"61","SURF4",1,1,1,1,1,1,1,0,0,1,1
"62","SPTLC1",1,1,1,0,0,1,0,0,0,0,1
"63","SPTLC2",1,0,0,1,1,0,0,0,0,0,1
"64","TM9SF1",1,0,0,0,0,0,0,0,0,0,0
"65","EIF3H",1,0,1,1,0,0,0,1,1,0,0
"66","STX7",1,0,1,1,1,0,1,1,0,1,1
"67","SLC16A3",1,1,1,1,1,1,1,1,1,1,1
"68","P4HA2",1,0,0,0,1,1,0,0,0,0,0
"69","YKT6",1,0,1,1,0,0,1,0,0,0,1
"70","TAPBP",1,0,1,1,0,0,0,0,0,0,1
"71","CLDN3",1,0,1,1,1,0,1,0,1,1,0
"72","FLRT2",1,1,1,1,0,1,1,0,0,1,1
"73","CYB5B",1,0,1,0,0,1,0,0,0,0,1
"74","PHGDH",1,1,0,1,1,0,1,0,1,1,1
"75","SPINT2",1,1,0,0,0,0,0,0,0,0,0
"76","GPAA1",1,0,0,0,0,0,0,0,0,0,0
"77","TPD52L2",1,0,0,0,1,1,1,1,0,0,1
"78","EPB41L2",1,1,1,1,1,1,1,1,1,1,1
"79","TGOLN2",1,1,1,1,1,1,1,1,0,0,0
"80","ATP8B1",1,0,0,0,0,0,0,0,0,0,0
"81","CA12",1,1,1,1,1,1,1,0,1,1,1
"82","TSPAN6",1,0,0,1,1,0,0,1,0,0,1
"83","GET3",1,0,1,0,1,1,0,0,0,0,1
"84","NARS1",1,0,0,1,0,0,1,0,0,0,1
"85","MYO1B",1,1,1,0,0,1,1,1,1,1,1
"86","CALU",1,1,0,1,1,1,0,0,0,0,1
"87","AHCYL1",1,1,1,1,1,1,1,1,1,1,1
"88","TYROBP",1,1,0,1,0,1,1,1,1,0,1
"89","PLIN1",1,1,1,1,0,1,1,0,0,0,0
"90","PPL",1,0,1,1,1,1,1,1,1,0,0
"91","NRP2",1,0,0,0,0,1,0,0,0,0,1
"92","ACSL4",1,1,1,1,0,1,1,1,1,1,1
"93","SYNCRIP",1,0,1,0,1,1,1,1,0,0,0
"94","PLOD3",1,0,0,0,0,1,0,0,0,0,0
"95","TLR2",1,1,0,1,1,1,0,1,1,1,1
"96","DIAPH1",1,1,1,1,0,1,0,1,1,0,1
"97","SELENOF",1,0,1,1,0,0,0,0,0,0,0
"98","TSPAN1",1,0,0,1,1,0,1,1,1,1,1
"99","UGDH",1,1,1,1,0,1,1,0,1,1,0
"100","CTNND1",1,1,1,1,1,1,1,1,1,1,0
"101","SNX2",1,1,0,1,1,1,1,1,1,0,0
"102","DPM1",1,0,0,0,0,0,0,0,0,0,1
"103","H2BC9",1,1,1,1,1,0,0,0,0,1,0
"104","PRAF2",1,1,0,1,1,0,0,0,0,0,0
"105","DNAJA2",1,0,1,0,1,1,0,1,0,0,1
"106","SRGAP2",1,0,0,1,1,0,1,0,0,0,1
"107","FAM20B",1,0,0,0,0,0,0,0,0,0,0
"108","WDR1",1,1,1,1,1,1,1,0,1,1,1
"109","CPNE3",1,1,1,0,1,0,1,0,1,1,1
"110","DNAJC13",1,0,1,1,1,1,1,0,0,0,1
"111","GGCT",1,0,0,0,0,0,0,0,0,1,0
"112","CILP",1,1,0,0,1,0,0,0,1,1,0
