"","value","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11"
"1","HLA-DRA",1,1,1,1,1,0,1,1,1,1,1
"6","MYO1G",1,1,1,1,1,1,1,0,1,1,1
"9","NACA",1,1,1,1,1,1,1,1,0,0,1
"13","MYO1C",1,1,1,0,0,1,1,1,1,1,1
"15","SNAP23",1,1,1,1,1,1,1,1,1,1,0
"16","LGALS9",1,1,1,1,1,1,1,1,0,0,1
"17","STXBP3",1,1,1,1,1,1,1,1,1,1,1
"20","EIF3F",1,1,1,1,1,1,1,1,0,0,1
"22","IPO5",1,1,1,1,1,1,1,1,1,1,1
"25","SDCBP",1,1,1,1,1,0,1,1,1,1,1
"28","PODXL",1,1,1,1,1,0,1,1,1,1,1
"29","FCN1",1,1,1,1,1,1,1,1,1,1,1
"30","PDXK",1,1,1,1,1,1,1,1,1,0,1
"34","ADAM10",1,1,1,1,0,1,1,1,1,1,0
"37","SLC9A3R1",1,1,1,1,1,1,1,1,1,1,1
"43","GIPC1",1,1,1,1,1,1,1,1,0,0,1
"50","PLXNB2",1,1,1,1,1,0,1,1,1,1,0
"55","ARPC3",1,0,1,1,1,1,1,0,1,1,1
"56","PLSCR1",1,1,1,1,1,1,1,1,1,1,1
"57","PGRMC2",1,1,1,1,1,1,1,0,0,1,1
"60","RER1",1,1,1,1,1,1,1,1,0,1,0
"61","SURF4",1,1,1,1,1,1,1,0,0,1,1
"67","SLC16A3",1,1,1,1,1,1,1,1,1,1,1
"78","EPB41L2",1,1,1,1,1,1,1,1,1,1,1
"81","CA12",1,1,1,1,1,1,1,0,1,1,1
"85","MYO1B",1,1,1,0,0,1,1,1,1,1,1
"87","AHCYL1",1,1,1,1,1,1,1,1,1,1,1
"92","ACSL4",1,1,1,1,0,1,1,1,1,1,1
"95","TLR2",1,1,0,1,1,1,0,1,1,1,1
"100","CTNND1",1,1,1,1,1,1,1,1,1,1,0
"108","WDR1",1,1,1,1,1,1,1,0,1,1,1
"117","MACROH2A1",1,0,1,1,1,1,1,1,1,1,0
"119","SEC22B",1,1,1,1,1,1,1,1,0,1,1
"122","STX11",1,1,1,1,1,1,1,0,1,0,1
"124","RP2",1,1,1,1,1,1,1,1,1,1,1
"132","ARL6IP5",1,1,1,1,1,1,1,0,0,1,1
"135","FLOT1",1,1,1,1,1,1,1,1,1,1,1
"140","STK10",1,1,1,1,1,1,1,1,1,1,1
"142","MYO1D",1,1,1,1,1,1,1,0,1,1,1
"143","ERLIN2",1,1,1,1,1,1,1,0,0,1,1
"145","AP2A2",1,1,1,1,1,1,1,1,0,0,1
"151","PGLS",1,1,1,1,1,1,1,1,1,0,1
"154","SLC34A2",1,1,1,1,1,1,1,1,1,1,1
"155","FMNL1",1,1,1,1,0,1,1,1,1,1,1
"162","AP2A1",1,1,1,1,1,1,1,1,1,1,1
"164","CLDN1",1,1,1,1,1,1,1,1,1,1,1
"166","GNA14",1,1,1,1,0,1,1,1,1,0,1
"168","DDAH2",1,1,1,1,1,1,1,1,1,0,1
