"","Suggested.Symbol","name","ID","C1","C2","C3","C4","C5"
"1","NUDT11","NUDT11","Q96G61",0,0,0,25724,0
"2","IGKV3-7","IGKV3-7","A0A075B6H7",0,345220,0,0,0
"3","IGLV4-69","IGLV4-69","A0A075B6H9",143180,96316,321370,94677,0
"4","IGLV8-61","IGLV8-61","A0A075B6I0",0,243900,0,0,0
"5","IGLV4-60","IGLV4-60","A0A075B6I1",119090,0,0,0,0
"6","IGLV10-54","IGLV10-54","A0A075B6I4",63045,0,0,0,0
"7","IGLV7-46","IGLV7-46","A0A075B6I9",0,481540,0,0,185450
"8","IGLV5-37","IGLV5-37","A0A075B6J1",0,0,0,157910,0
"9","IGLV2-18","IGLV2-18","A0A075B6J9",79441,69539,112650,0,0
"10","IGLV3-16","IGLV3-16","A0A075B6K0",0,52358,0,1675200,323310
"11","IGLV3-12","IGLV3-12","A0A075B6K2",0,0,0,0,0
"12","IGLV3-10","IGLV3-10","A0A075B6K4",942390,240790,1296100,0,1944700
"13","IGLV3-9","IGLV3-9","A0A075B6K5",428160,224070,0,0,201680
"14","IGKV2D-28","IGKV2D-28","A0A075B6P5",46520,49230,0,0,0
"15","IGHV3-64","IGHV3-64","A0A075B6Q5",0,47871,0,0,0
"16","IGHV4-4","IGHV4-4","A0A075B6R2",0,0,23831,0,0
"17","IGKV2-24","IGKV2-24","A0A0C4DH68",441880,604170,97020,0,383290
"18","IGKV2D-29","IGKV2D-29","A0A075B6S2",3543900,1754200,3242900,217240,1009200
"19","IGKV1D-17","IGKV1D-17","A0A075B6S4",0,0,0,0,0
"20","IGKV1-27","IGKV1-27","A0A075B6S5",192580,44106,169800,95421,56610
"21","IGKV1D-37","IGKV1D-37","P0DSN7",0,60804,0,0,0
"22","IGHV3OR16-12","IGHV3OR16-12","A0A075B7B8",0,956290,0,0,0
"23","IGHV1OR15-1","IGHV1OR15-1","A0A075B7D0",0,0,76712,0,0
"24","IGHV3OR15-7","IGHV3OR15-7","A0A075B7D8",212830,127250,365150,0,0
"25","IGHV4-31","IGHV4-31","A0A087WSY4",0,0,0,0,0
"26","IGKV1D-8","IGKV1D-8","A0A087WSZ0",29822,0,17654,0,0
"27","TMEM265","TMEM265","A0A087WTH1",0,0,0,0,0
"28","IGKV2-40","IGKV2-40","P01614",0,0,18253,0,0
"29","IGHV1-45","IGHV1-45","A0A0A0MS14",0,0,0,0,0
"30","IGHV3-49","IGHV3-49","A0A0A0MS15",386870,151160,326930,0,80339
"31","IGKV6D-21","IGKV6D-21","A0A0A0MT36",91591,28404,155110,0,69466
"32","IGLV1-36","IGLV1-36","A0A0B4J1U3",105800,0,96127,0,26650
"33","IGHV6-1","IGHV6-1","A0A0B4J1U7",245520,110650,291420,0,0
"34","IGHV3-15","IGHV3-15","A0A0B4J1V0",257350,41709,149030,94934,85134
"35","IGHV3-21","IGHV3-21","A0A0B4J1V1",3388600,1435100,1411400,0,166750
"36","IGHV2-26","IGHV2-26","A0A0B4J1V2",189970,0,61710,451790,0
