"","value","name","ID","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11","C1","C2","C3","C4","C5"
"1","HLA-DRA","HLA-DRA","P01903",1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
"2","IGLV5-45","IGLV5-45","A0A0G2JS06",1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
"3","ESYT2","ESYT2","A0FGR8",1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0
"4","ILVBL","ILVBL","A1L0T0",1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1
"5","WDR91","WDR91","A4D1P6",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"6","MYO1G","MYO1G","B0I1T2",1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0
"7","SMIM1","SMIM1","B2RUZ4",1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0
"8","GPR89B","GPR89B","P0CG08",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"9","NACA","NACA","E9PAV3",1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0
"10","SMIM22","SMIM22","K7EJ46",1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
"11","AGPS","AGPS","O00116",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"12","PDLIM1","PDLIM1","O00151",1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
"13","MYO1C","MYO1C","O00159",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
"14","MYO1F","MYO1F","O00160",1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0
"15","SNAP23","SNAP23","O00161",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"16","LGALS9","LGALS9","O00182",1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0
"17","STXBP3","STXBP3","O00186",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"18","AP3B1","AP3B1","O00203",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"19","PGRMC1","PGRMC1","O00264",1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1
"20","EIF3F","EIF3F","O00303",1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0
"21","SLC33A1","SLC33A1","O00400",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"22","IPO5","IPO5","O00410",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"23","GOLIM4","GOLIM4","O00461",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"24","PLOD2","PLOD2","O00469",1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
"25","SDCBP","SDCBP","O00560",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
"26","NOP56","NOP56","O00567",1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"27","DDX3X","DDX3X","O00571",1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0
"28","PODXL","PODXL","O00592",1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0
"29","FCN1","FCN1","O00602",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"30","PDXK","PDXK","O00764",1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
"31","CYB561D2","CYB561D2","O14569",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"32","COPE","COPE","O14579",1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0
"33","GOSR2","GOSR2","O14653",1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0
"34","ADAM10","ADAM10","O14672",1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0
"35","ITGB1BP1","ITGB1BP1","O14713",1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
