"","Suggested.Symbol","ID","cut_sec","p.value_sec","HR_sec","LCL_sec","UCL_sec","adj.p.val_sec","cut_uc","p.value_uc","HR_uc","LCL_uc","UCL_uc","adj.p.val_uc"
"1","CNOT1","A5YKK6",7751,0.851253335727654,0.817116155359335,0.0986184909584178,6.77032070619236,0.885077971584382,29479,0.0122911110462302,0.100996170029913,0.0117047555404888,0.871460008321124,0.0225585885266861
"2","AGPS","O00116",1500.5,0.21762401231309,0.436171448827174,0.11291449081926,1.68486375301924,0.352236803434589,6658.65,0.0294071464156302,0.195041519704386,0.0383416343134281,0.992164134100921,0.0435558678042825
"3","MYO1F","O00160",80034.5,0.129233102759863,0.214838164834112,0.0251389077958961,1.83601600531046,0.317311202634681,2760600,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"4","LST1","O00453",51589.5,0.386231980108675,0.409268188344644,0.0507553066338194,3.30015639939602,0.473737663102047,358560,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"5","PLPP1","O14494",19489.5,0.00301854800296708,3.98331926634991e-10,0,Inf,0.059239004558229,387080,0.00301854800296708,3.98331926634991e-10,0,Inf,0.00718048540099745
"6","CYB561D2","O14569",8270,0.270249811112287,0.326614828418171,0.0403492728775795,2.64384556485793,0.375479826058664,21817.5,0.00693390235875668,0.126041667017833,0.0221017041572723,0.718790809594969,0.0137800338015797
"7","MGST3","O14880",291970,0.0515052673683016,9.48683298050904,0.592820032523218,151.816731997074,0.180891765684357,25761.5,0.0488806912574286,0.224266125184194,0.044321324356068,1.13478772658215,0.0658237354007995
"8","FLRT2","O43155",39747.5,0.00251715732868529,0.0679435259653391,0.00753799246564428,0.612407446895498,0.0564562429433701,791640,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"9","NRP2","O60462",15556.2,0.367690535861021,2.09935956997959,0.403132385241759,10.9326632277926,0.461819313041442,236205,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"10","PLOD3","O60568",8698.5,0.920548881272924,0.920938565231499,0.182459332907916,4.64831163971583,0.943515541328511,26776,0.330220438704682,2.70779152503197,0.335805952642806,21.8344400548316,0.332337236388687
"11","PLIN3","O60664",44949.5,0.216578135635956,0.416712200917702,0.100132514262139,1.73419253149958,0.352236803434589,78296,0.0603538526387454,0.250847632913441,0.0536495821023001,1.17288024384404,0.0764157650345405
"12","PRAF2","O60831",21979.3,0.361812618291102,2.00113390602136,0.438074425257934,9.14122504976285,0.461819313041442,14785.8,0.000437578021208251,2.27214639864333e-10,0,Inf,0.00396400249203887
"13","ERLIN1","O75477",10085,0.270249811112287,0.326614828418171,0.0403492728775795,2.64384556485793,0.375479826058664,1193.2,0.000437578021208251,2.27214639864333e-10,0,Inf,0.00396400249203887
"14","PALM","O75781",5885,0.0518479583171724,0.265791417338977,0.064217525929659,1.10009030258257,0.180891765684357,200575,0.0494726164158875,0.146921906506889,0.0170198618440843,1.26828565410017,0.0658237354007995
"15","ATP5PD","O75947",340330,0.0515052673683016,9.48683298050904,0.592820032523218,151.816731997074,0.180891765684357,3882.05,0.0266238999494781,0.144738323628703,0.0200509212328214,1.04479899370186,0.0401918489621929
