"","fac","cut","p.value","HR","LCL","UCL","bellow.cut","above.cut"
"4","C5AR1",264460,0.198119665062818,0.362757610469344,0.0730106511881241,1.80238200607685,7,4
"5","CALB2",903710,0.104947268106763,0.277047823641122,0.0540706355898663,1.41954123059481,7,4
"41","CD68",192940,0.0123569338426434,0.15149858618011,0.0289568377249125,0.792621826755139,6,5
"11","CD84",107910,0.730553556060018,1.27731708079624,0.316141342585021,5.16078951127706,7,4
"12","CDH11",114859,0.0537824495492931,0.218289468160114,0.0413778416252952,1.15158959573415,6,5
"42","CKB",306885,0.0132245533416516,6.79237266588342,1.20407492480144,38.3168235480432,7,4
"13","CLDN3",312800.5,0.942700401223877,1.06005114929954,0.21607616941224,5.20051999342611,8,3
"14","CLDN7",144485,0.457606680467568,1.6493335661312,0.434837135336938,6.25590822701751,6,5
"6","CYBB",8110650,0.119842522806085,3.34315175676701,0.6671347980353,16.7532314334216,8,3
"15","DCN",113415,0.526005448588166,0.603450405858938,0.124609897520444,2.92233923289741,8,3
"51","DPP4",5034900,0.0494726164158875,0.146921906506889,0.0170198618440843,1.26828565410017,7,4
"16","EMILIN1",115332.5,0.191884689797802,2.54279331898692,0.59679473273945,10.8342073218454,6,5
"61","EPCAM",2514500,0.0294071464156302,5.12711345520504,1.00789775162169,26.0813086845851,8,3
"43","FCGR1A",365495,0.470692501252847,0.598128555731288,0.145981687311885,2.45070306946692,6,5
"17","FOLR1",144740,0.116303444480881,3.50263616440253,0.678747932982322,18.0751343820299,3,8
"18","LCN2",134047,0.401281739980932,0.567927371931497,0.149127627224586,2.16285543994655,6,5
"19","LILRB2",107926,0.0816472464016473,0.25593536971579,0.0497666851424784,1.31620004997375,6,5
"62","LRRC25",309745,0.119842522806085,3.34315175676701,0.6671347980353,16.7532314334216,8,3
"110","PLS3",1454400,0.342238142810042,1.9175769274987,0.490737869276592,7.49300492806042,5,6
"3","PROCR",574660,0.0158595631653904,0.101880419557078,0.0112410495536694,0.923367505816037,5,6
"111","PRSS8",114673,0.616376055605975,0.669646301860507,0.138056262493753,3.2481407325926,8,3
"2","S100A14",180260,0.790820745733333,0.80782705649127,0.16641863195279,3.92134309447079,8,3
"63","SERPINB2",530390,0.0370724637477517,5.55230990775669,0.911823957809955,33.809317081136,8,3
"112","SMIM22",151640,0.0386739087172543,0.142919997733152,0.0173130411196069,1.17981154269377,8,3
"113","SPINT2",110777.5,0.191884689797802,2.54279331898692,0.59679473273945,10.8342073218454,6,5
"31","STAB1",512700,0.00136128218149778,2.67238648283945e-10,0,Inf,6,5
"64","TACSTD2",2570300,0.0778623450700625,3.86840717919829,0.768670695816427,19.4681209853832,8,3
"44","TSPAN1",735400,0.178208778259045,0.348668215735589,0.0705178946440313,1.72395283889164,7,4
"21","VSIG4",437220,0.126663732591629,0.336731401816099,0.0790789091298647,1.43385939710963,7,4
"52","MRC1",1472450,0.00301854800296708,3.98331926634991e-10,0,Inf,7,4
"65","FAS",645220,0.0370724637477517,5.55230990775669,0.911823957809955,33.809317081136,8,3
"66","ITGB8",514165,0.0778623450700625,3.86840717919829,0.768670695816427,19.4681209853832,8,3
